indicator,period,source,location,value,value_type,Sub-dashboard
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sokoto North LGA,30,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sokoto North LGA,57,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sokoto North LGA,24.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sokoto North LGA,29.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Soba LGA,0.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Soba LGA,49.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Soba LGA,38.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Soba LGA,61.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Soba LGA,54.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Soba LGA,64.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Soba LGA,81.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Silame LGA,4.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Silame LGA,12,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Silame LGA,45.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Silame LGA,28.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Silame LGA,29.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Silame LGA,34.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shongom LGA,6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shongom LGA,30.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shongom LGA,43.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shongom LGA,41.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shongom LGA,35.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shongom LGA,23.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shongom LGA,20.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shomolu LGA,24,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shomolu LGA,14.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shomolu LGA,18.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shomolu LGA,13.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shomolu LGA,13.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shomolu LGA,15.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shomolu LGA,14.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shiroro LGA,6.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shiroro LGA,15.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shiroro LGA,7.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shiroro LGA,12,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shiroro LGA,8.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shiroro LGA,12,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shiroro LGA,16.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shira LGA,0.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shira LGA,11.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shira LGA,16.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shira LGA,16.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shira LGA,21,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shira LGA,21.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shira LGA,21.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shinkafi LGA,19.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shinkafi LGA,14.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shinkafi LGA,13.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shinkafi LGA,14.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shinkafi LGA,14.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shinkafi LGA,34.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shinkafi LGA,46.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shendam LGA,15,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shendam LGA,7.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shendam LGA,21.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shendam LGA,34.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shendam LGA,29.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shendam LGA,34.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shelleng LGA,1.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shelleng LGA,26.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shelleng LGA,29.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shelleng LGA,40.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shelleng LGA,69.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shelleng LGA,46.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shelleng LGA,37.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shanono LGA,21.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shanono LGA,15,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shanono LGA,20.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shanono LGA,26,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shanono LGA,22.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shanono LGA,30.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shani LGA,12.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shani LGA,14.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shani LGA,28.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shanga LGA,16.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shanga LGA,9.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shanga LGA,6.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shanga LGA,10.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shanga LGA,11.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shanga LGA,20.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shagari LGA,10.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shagari LGA,11.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shagari LGA,13.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shagari LGA,17.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shagari LGA,7.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shagari LGA,12.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Shagamu LGA,31,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Shagamu LGA,155.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Shagamu LGA,128.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Shagamu LGA,84,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Shagamu LGA,21.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Shagamu LGA,25.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Shagamu LGA,15.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sardauna LGA,19.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sardauna LGA,49.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sardauna LGA,65.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sardauna LGA,64.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sardauna LGA,42.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sardauna LGA,44.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sapele LGA,18.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sapele LGA,0.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sapele LGA,1.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sapele LGA,1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sapele LGA,2.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sapele LGA,29.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sanga LGA,15.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sanga LGA,33.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sanga LGA,34.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sanga LGA,48.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sanga LGA,50.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sanga LGA,67.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sandamu LGA,58.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sandamu LGA,41.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sandamu LGA,21.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sandamu LGA,39.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sandamu LGA,42,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sandamu LGA,33.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Saki West LGA,86.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Saki West LGA,66.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Saki West LGA,52.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Saki West LGA,35.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Saki West LGA,29.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Saki West LGA,26.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Saki West LGA,18.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Saki East LGA,15.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Saki East LGA,10.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Saki East LGA,9.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Saki East LGA,6.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Saki East LGA,12.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Saki East LGA,14.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Saki East LGA,11.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sakaba LGA,31.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sakaba LGA,8.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sakaba LGA,24.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sakaba LGA,29.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sakaba LGA,27,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sakaba LGA,32.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Sagbama LGA,2,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sagbama LGA,2.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sagbama LGA,3.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sagbama LGA,2.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sagbama LGA,2.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sagbama LGA,3.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sagbama LGA,2.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Safana LGA,19.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Safana LGA,16.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Safana LGA,7.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Safana LGA,9.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Safana LGA,11.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Safana LGA,13.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sabuwa LGA,15.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sabuwa LGA,11.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sabuwa LGA,12.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sabuwa LGA,16.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sabuwa LGA,17.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sabuwa LGA,16.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Sabon Gari LGA,0.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sabon Gari LGA,36.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sabon Gari LGA,36.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sabon Gari LGA,39.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sabon Gari LGA,29.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sabon Gari LGA,48.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sabon Gari LGA,72.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Sabon Birni LGA,21.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Sabon Birni LGA,23.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Sabon Birni LGA,46.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Sabon Birni LGA,45.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Sabon Birni LGA,26.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Sabon Birni LGA,17.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Roni LGA,91.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Roni LGA,49.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Roni LGA,43.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Roni LGA,38.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Roni LGA,43.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Roni LGA,56.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Rogo LGA,1.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rogo LGA,17.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rogo LGA,11.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rogo LGA,19.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rogo LGA,13.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rogo LGA,17.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rogo LGA,19.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Riyom LGA,3.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Riyom LGA,17.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Riyom LGA,7.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Riyom LGA,4.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Riyom LGA,12.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Riyom LGA,10.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Riyom LGA,16.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Ringim LGA,32.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Ringim LGA,31.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Ringim LGA,33.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Ringim LGA,49.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Ringim LGA,44.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Ringim LGA,52.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Rimin Gado LGA,0.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rimin Gado LGA,26.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rimin Gado LGA,15.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rimin Gado LGA,9.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rimin Gado LGA,7.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rimin Gado LGA,22.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rimin Gado LGA,33.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rimi LGA,45,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rimi LGA,32.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rimi LGA,19.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rimi LGA,35.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rimi LGA,39.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rimi LGA,56.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Rijau LGA,4.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rijau LGA,19.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rijau LGA,27.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rijau LGA,11.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rijau LGA,4.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rijau LGA,8.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rijau LGA,3.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Remo North LGA,3.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Remo North LGA,27.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Remo North LGA,19.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Remo North LGA,12.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Remo North LGA,18.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Remo North LGA,19.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Remo North LGA,19.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rano LGA,20.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rano LGA,18.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rano LGA,24.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rano LGA,18.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rano LGA,36.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rano LGA,52.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Rafi LGA,18.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rafi LGA,43.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rafi LGA,33.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rafi LGA,24.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rafi LGA,19.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rafi LGA,41.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rafi LGA,22.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Rabah LGA,30.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Rabah LGA,25.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Rabah LGA,43,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Rabah LGA,56.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Rabah LGA,41.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Rabah LGA,40.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Qua'an Pan LGA,24.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Qua'an Pan LGA,23.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Qua'an Pan LGA,33.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Qua'an Pan LGA,21.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Qua'an Pan LGA,25.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Qua'an Pan LGA,25.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Potiskum LGA,50.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Potiskum LGA,26.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Potiskum LGA,49.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Potiskum LGA,65,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Potiskum LGA,101,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Potiskum LGA,90.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Potiskum LGA,225.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Port Harcourt LGA,2,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Port Harcourt LGA,15.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Port Harcourt LGA,11.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Port Harcourt LGA,21,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Port Harcourt LGA,20.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Port Harcourt LGA,22.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Port Harcourt LGA,15.8,Routine,Health_Outcomes
